s,prefL,alts,group
http://ec.europa.eu/esco/occupation/20970,Advertising distributor,Advertisment distributor Advertisement distributor,http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/18446,"Advertising seller (door-to-door and telephone salespersons, shop sales persons and demonstrators)",Advertisement seller,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/19336,Agent (music),Musical agent,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/19562,Air traffic assistant,,http://ec.europa.eu/esco/isco2008/Concept/C4221
http://ec.europa.eu/esco/occupation/16215,Aircraft broker,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/17368,Aircraft cleaner,Airplane cleaner,http://ec.europa.eu/esco/isco2008/Concept/C9112
http://ec.europa.eu/esco/occupation/19574,Alcohol therapist,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/22094,Amusement park worker,,http://ec.europa.eu/esco/isco2008/Concept/C9629
http://ec.europa.eu/esco/occupation/19916,Anthropologist,,http://ec.europa.eu/esco/isco2008/Concept/C2632
http://ec.europa.eu/esco/occupation/14885,Archaeological scientist,,http://ec.europa.eu/esco/isco2008/Concept/C2632
http://ec.europa.eu/esco/occupation/22610,Archaeologist,,http://ec.europa.eu/esco/isco2008/Concept/C2632
http://ec.europa.eu/esco/occupation/20133,Area administrator,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/18603,Artists' agent,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/22107,Artists' booking agent,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/21321,Assistant (tourist information office),Assistant (tourist office) Tourist assistant,http://ec.europa.eu/esco/isco2008/Concept/C4221
http://ec.europa.eu/esco/occupation/21594,Assistant chef,,http://ec.europa.eu/esco/isco2008/Concept/C3434
http://ec.europa.eu/esco/occupation/20427,Assistant cook,Cook's assistant,http://ec.europa.eu/esco/isco2008/Concept/C9412
http://ec.europa.eu/esco/occupation/21507,Assistant cook (ship),"Cook's assistant, ship",http://ec.europa.eu/esco/isco2008/Concept/C9412
http://ec.europa.eu/esco/occupation/23443,Assistant matron,,http://ec.europa.eu/esco/isco2008/Concept/C5151
http://ec.europa.eu/esco/occupation/22794,Assistant vicar,,http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/20458,Attendant,Stewardess Steward/ess,http://ec.europa.eu/esco/isco2008/Concept/C9112
http://ec.europa.eu/esco/occupation/17729,Au pair,,http://ec.europa.eu/esco/isco2008/Concept/C9111
http://ec.europa.eu/esco/occupation/20972,Auction assistant,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/17770,Auctioneer,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/15826,Auctioneer's assistant,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/18493,Authorised translator,Authorized translator,http://ec.europa.eu/esco/isco2008/Concept/C2643
